"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742436105198000E9,"2025-03-19 22:01:45.198 UTC-04:00"
"PAUSE",4.547871583333472E1,1.742436150676000E9,"2025-03-19 22:02:30.676 UTC-04:00"
"START",4.547871583333472E1,1.742436151988000E9,"2025-03-19 22:02:31.988 UTC-04:00"
"PAUSE",4.632855599999311E1,1.742436152838000E9,"2025-03-19 22:02:32.838 UTC-04:00"
