"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742434836178000E9,"2025-03-19 21:40:36.178 UTC-04:00"
"PAUSE",4.502015625000058E1,1.742434881197000E9,"2025-03-19 21:41:21.197 UTC-04:00"
