"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742576942714973E9,"2025-03-21 13:09:02.715 UTC-04:00"
"PAUSE",4.559447695832932E1,1.742576988309579E9,"2025-03-21 13:09:48.310 UTC-04:00"
