"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.743724871163669E9,"2025-04-03 20:01:11.164 UTC-04:00"
"PAUSE",4.560495066666681E1,1.743724916742751E9,"2025-04-03 20:01:56.743 UTC-04:00"
