"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742577025427194E9,"2025-03-21 13:10:25.427 UTC-04:00"
"PAUSE",4.565020733333950E1,1.742577071077531E9,"2025-03-21 13:11:11.078 UTC-04:00"
