"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.743724972942336E9,"2025-04-03 20:02:52.942 UTC-04:00"
"PAUSE",4.561497554166658E1,1.743725018557198E9,"2025-04-03 20:03:38.557 UTC-04:00"
