"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742435739089000E9,"2025-03-19 21:55:39.089 UTC-04:00"
"PAUSE",4.458369850000599E1,1.742435783671000E9,"2025-03-19 21:56:23.671 UTC-04:00"
