"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742576347226613E9,"2025-03-21 12:59:07.227 UTC-04:00"
"PAUSE",4.565754470833781E1,1.742576392883789E9,"2025-03-21 12:59:52.884 UTC-04:00"
