"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742435896536000E9,"2025-03-19 21:58:16.536 UTC-04:00"
"PAUSE",4.558935808333626E1,1.742435942124000E9,"2025-03-19 21:59:02.124 UTC-04:00"
