"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742519455279382E9,"2025-03-20 21:10:55.279 UTC-04:00"
"PAUSE",4.560746116666996E1,1.742519500886837E9,"2025-03-20 21:11:40.887 UTC-04:00"
