"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742576694897125E9,"2025-03-21 13:04:54.897 UTC-04:00"
"PAUSE",4.559472975000244E1,1.742576740513970E9,"2025-03-21 13:05:40.514 UTC-04:00"
