"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742520791194459E9,"2025-03-20 21:33:11.194 UTC-04:00"
"PAUSE",4.560196783333959E1,1.742520836796420E9,"2025-03-20 21:33:56.796 UTC-04:00"
