"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741896699993616E9,"2025-03-13 16:11:39.994 UTC-04:00"
"PAUSE",4.561158370831981E1,1.741896745604653E9,"2025-03-13 16:12:25.605 UTC-04:00"
