"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742435189551000E9,"2025-03-19 21:46:29.551 UTC-04:00"
"PAUSE",4.455905133332999E1,1.742435234109000E9,"2025-03-19 21:47:14.109 UTC-04:00"
