"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742519709913801E9,"2025-03-20 21:15:09.914 UTC-04:00"
"PAUSE",4.560111270833295E1,1.742519755514907E9,"2025-03-20 21:15:55.515 UTC-04:00"
