"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741897028036058E9,"2025-03-13 16:17:08.036 UTC-04:00"
"PAUSE",4.559282054170035E1,1.741897073628332E9,"2025-03-13 16:17:53.628 UTC-04:00"
