"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741896899021739E9,"2025-03-13 16:14:59.022 UTC-04:00"
"PAUSE",4.564846870838664E1,1.741896944669660E9,"2025-03-13 16:15:44.670 UTC-04:00"
