"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742519526546014E9,"2025-03-20 21:12:06.546 UTC-04:00"
"PAUSE",4.560084112499317E1,1.742519572146849E9,"2025-03-20 21:12:52.147 UTC-04:00"
