"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742436198303000E9,"2025-03-19 22:03:18.303 UTC-04:00"
"PAUSE",4.738907554166508E1,1.742436245691000E9,"2025-03-19 22:04:05.691 UTC-04:00"
