"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742435361872000E9,"2025-03-19 21:49:21.872 UTC-04:00"
"PAUSE",4.288441675000649E1,1.742435404756000E9,"2025-03-19 21:50:04.756 UTC-04:00"
