"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742434942487000E9,"2025-03-19 21:42:22.487 UTC-04:00"
"PAUSE",4.652052895832458E1,1.742434989006000E9,"2025-03-19 21:43:09.006 UTC-04:00"
