"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742435811962000E9,"2025-03-19 21:56:51.962 UTC-04:00"
"PAUSE",4.189945462500327E1,1.742435853860000E9,"2025-03-19 21:57:33.860 UTC-04:00"
