"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742576466770652E9,"2025-03-21 13:01:06.771 UTC-04:00"
"PAUSE",4.570029662500019E1,1.742576512470580E9,"2025-03-21 13:01:52.471 UTC-04:00"
