"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742576189115419E9,"2025-03-21 12:56:29.115 UTC-04:00"
"PAUSE",4.559360920833569E1,1.742576234708661E9,"2025-03-21 12:57:14.709 UTC-04:00"
