"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742435035239000E9,"2025-03-19 21:43:55.239 UTC-04:00"
"PAUSE",4.862290904166002E1,1.742435083861000E9,"2025-03-19 21:44:43.861 UTC-04:00"
