"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741897102677457E9,"2025-03-13 16:18:22.677 UTC-04:00"
"PAUSE",4.560178995830938E1,1.741897148278701E9,"2025-03-13 16:19:08.279 UTC-04:00"
