"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.743724775474764E9,"2025-04-03 19:59:35.475 UTC-04:00"
"PAUSE",4.559146491666661E1,1.743724821066475E9,"2025-04-03 20:00:21.066 UTC-04:00"
